,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
335,GEOMETRIC_CENTER,"33 St, Queens, NY 11101, USA",ChIJ0S2EOtRewokRyGnyq50mNfY,33 ST-RAWSON ST New York City metro station,40.744587,-73.93099699999999,1,11101,OK,"establishment,point_of_interest,transit_station"
336,GEOMETRIC_CENTER,"40 St - Lowery St, Queens, NY 11104, USA",ChIJFdv91tlewokRU0FZAchp9EQ,40 ST LOWERY ST New York City metro station,40.7438729,-73.92423409999999,1,11104,OK,"establishment,point_of_interest,subway_station,transit_station"
337,GEOMETRIC_CENTER,"46 St-Bliss St Station, Queens, NY 11104, USA",ChIJaw-gLNlewokRI8ptTGYJtfI,46 ST BLISS ST New York City metro station,40.7430528,-73.91824299999999,1,11104,OK,"establishment,point_of_interest,subway_station,transit_station"
338,GEOMETRIC_CENTER,"52 St-Lincoln Av Station, Queens, NY 11377, USA",ChIJEdIf4t9ewokRKr3oEnYLUTQ,52 ST New York City metro station,40.7441824,-73.912301,1,11377,OK,"establishment,point_of_interest,subway_station,transit_station"
339,GEOMETRIC_CENTER,"61 St-Woodside Station, Queens, NY 11377, USA",ChIJ0dNABR1fwokRt1TkXLDNj9c,61 ST WOODSIDE New York City metro station,40.7457078,-73.90290399999999,1,11377,OK,"establishment,point_of_interest,subway_station,transit_station"
340,GEOMETRIC_CENTER,"69 St-Fisk Av Station, Queens, NY 11377, USA",ChIJkfWgvwNfwokRiNti6EAwkyA,69 ST New York City metro station,40.7462915,-73.8963203,1,11377,OK,"establishment,point_of_interest,subway_station,transit_station"
341,GEOMETRIC_CENTER,"Roosevelt Av - Jackson Heights Subway Station, Roosevelt Ave &, 74th Street, New York, 11372, United States",ChIJaXls0QBfwokRl9AcpPjexoQ,74 ST-BROADWAY New York City metro station,40.746739,-73.8909986,1,11372,OK,"establishment,point_of_interest,subway_station,transit_station"
342,GEOMETRIC_CENTER,"82 Street Station, Queens, NY 11372, USA",ChIJPR5BMKlfwokRvB1MnLwOXSU,82 ST-JACKSON H New York City metro station,40.7477145,-73.8839373,1,11372,OK,"establishment,point_of_interest,subway_station,transit_station"
343,GEOMETRIC_CENTER,"90 St-Elmhurst Av Station, Queens, NY 11372, USA",ChIJ1xkEI7BfwokR27_329GG_0U,90 ST-ELMHURST New York City metro station,40.7485008,-73.87657229999999,1,11372,OK,"establishment,point_of_interest,subway_station,transit_station"
344,GEOMETRIC_CENTER,"Junction Blvd, Queens, NY 11368, USA",ChIJT_0a3LlfwokRiJZ-WI32mA0,JUNCTION BLVD New York City metro station,40.749203,-73.8693365,1,11368,OK,"establishment,point_of_interest,subway_station,transit_station"
345,GEOMETRIC_CENTER,"103 St-Corona Plaza Station, Queens, NY 11368, USA",ChIJwSZRrMdfwokRV6lmrhZstc4,103 ST-CORONA New York City metro station,40.7498268,-73.862746,1,11368,OK,"establishment,point_of_interest,subway_station,transit_station"
346,GEOMETRIC_CENTER,"Mets-Willets Point, Queens, NY 11368, USA",ChIJ8yUuCt9fwokRjQCAd5couzo,METS-WILLETS PT New York City metro station,40.75239,-73.8437,2,11368,OK,"establishment,point_of_interest,train_station,transit_station"
347,GEOMETRIC_CENTER,"Main - St, Queens, NY 11354, USA",ChIJxeDr2BFgwokRaDPtiqTsNCI,FLUSHING-MAIN New York City metro station,40.7595582,-73.82992209999999,1,11354,OK,"establishment,point_of_interest,subway_station,transit_station"
348,ROOFTOP,"34th Street-Hudson Yards Subway Station, 380-394 11th Ave, New York, NY 10001, USA",ChIJZUlTfrRZwokR8fnqur1CgA4,34 ST-HUDSON YD New York City metro station,40.7549713,-74.0010084,1,10001,OK,"establishment,point_of_interest,subway_station,transit_station"
349,GEOMETRIC_CENTER,"Clark Street Subway Station, Brooklyn, NY 11201, USA",ChIJ6-mL3jdawokRgXq3mdfWCCQ,CLARK ST New York City metro station,40.6974822,-73.9931416,1,11201,OK,"establishment,point_of_interest,subway_station,transit_station"
350,GEOMETRIC_CENTER,"Hoyt Street Station, Brooklyn, NY 11201, USA",ChIJQdmEmkxawokR5NUShUf6hm4,HOYT ST New York City metro station,40.690544,-73.98506200000001,1,11201,OK,"establishment,point_of_interest,subway_station,transit_station"
351,GEOMETRIC_CENTER,"Nevins St, Brooklyn, NY 11217, USA",ChIJfdfpA7NbwokRxNxaIgoFcfQ,NEVINS ST New York City metro station,40.6882963,-73.9805206,1,11217,OK,"establishment,point_of_interest,subway_station,transit_station"
352,GEOMETRIC_CENTER,"Nevins St, Brooklyn, NY 11217, USA",ChIJfdfpA7NbwokRxNxaIgoFcfQ,NEVINS ST New York City metro station,40.6882963,-73.9805206,1,11217,OK,"establishment,point_of_interest,subway_station,transit_station"
353,GEOMETRIC_CENTER,"Eastern Parkway Brooklyn Museum Station, Brooklyn, NY 11238, USA",ChIJVSi0PQpbwokRz1rolinPqKg,EASTN PKWY-MUSM New York City metro station,40.6719938,-73.9642065,1,11238,OK,"establishment,point_of_interest,subway_station,transit_station"
354,GEOMETRIC_CENTER,"Kingston Av, Brooklyn, NY 11213, USA",ChIJNSjPs3hbwokRw0ZNrhUnB-0,KINGSTON AV New York City metro station,40.6692845,-73.9422927,1,11213,OK,"establishment,point_of_interest,subway_station,transit_station"
355,GEOMETRIC_CENTER,"Utica Avenue Subway Station, Brooklyn, NY 11213, USA",ChIJCa-fKn5cwokRklewnzpi_1Q,CROWN HTS-UTICA New York City metro station,40.6689469,-73.93183379999999,1,11213,OK,"establishment,point_of_interest,subway_station,transit_station"
356,GEOMETRIC_CENTER,"Sutter Av - Rutland Rd, Rutland Road & E 98th St, Brooklyn, NY, United States",ChIJRcLy9IhcwokRwZz9lXo1zWk,SUTTER AV-RUTLD New York City metro station,40.6649921,-73.92290849999999,1,,OK,"establishment,point_of_interest,subway_station,transit_station"
357,GEOMETRIC_CENTER,"Saratoga Av, Brooklyn, NY 11212, USA",ChIJdc5SdoxcwokR5MW6PfyfOhI,SARATOGA AV New York City metro station,40.6615729,-73.9160543,1,11212,OK,"establishment,point_of_interest,subway_station,transit_station"
358,GEOMETRIC_CENTER,"Junius St, Brooklyn, NY 11212, USA",ChIJkWkWwfdcwokRUylnw3R0evw,JUNIUS ST New York City metro station,40.6634442,-73.90291169999999,1,11212,OK,"establishment,point_of_interest,subway_station,transit_station"
359,GEOMETRIC_CENTER,"Pennsylvania Av Station, Brooklyn, NY 11207, USA",ChIJ0TK8ClZcwokROqfxmHDdoIk,PENNSYLVANIA AV New York City metro station,40.6646911,-73.8941747,1,11207,OK,"establishment,point_of_interest,subway_station,transit_station"
360,GEOMETRIC_CENTER,"New Lots Av, Brooklyn, NY 11212, USA",ChIJK991IvpcwokRKlyWkIXioDg,NEW LOTS AV New York City metro station,40.6588826,-73.899213,1,11212,OK,"establishment,point_of_interest,subway_station,transit_station"
361,GEOMETRIC_CENTER,"President Street Station, Brooklyn, NY 11225, USA",ChIJXT_W4XZbwokRErd_xcIcypQ,PRESIDENT ST New York City metro station,40.6681585,-73.9506586,1,11225,OK,"establishment,point_of_interest,subway_station,transit_station"
